,Nama_Produk,Akun,Ulasan,rate,Ulasan_tokenize,Ulasan_normalized,Ulasan_stop_removed	,Ulasan_Stemmed,Ulasan_clean
149,Masker Karet Pink OneMed box 50pcs,M***t,late delivery brng ok,5,"['late', 'delivery', 'brng', 'ok']","['late', 'delivery', 'brng', 'ok']","['Late', 'delivery', 'barang', 'ok']","['late', 'delivery', 'barang', 'ok']","late delivery, barang ok"
150,Masker Karet Pink OneMed box 50pcs,reredyah,sesuai,5,['sesuai'],['sesuai'],['Sesuai'],['sesuai'],sesuai
151,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,r***n,emas cepat masker andal pesawat bonus masker lumayan thank you seller,5,"['emas', 'cepat', 'masker', 'andal', 'pesawat', 'bonus', 'masker', 'lumayan', 'thank', 'you', 'seller']","['emas', 'cepat', 'masker', 'andal', 'pesawat', 'bonus', 'masker', 'lumayan', 'thank', 'you', 'seller']","['Emas', 'cepat', 'masker', 'andal', 'pesawat', 'bonus', 'masker', 'thank', 'seller']","['emas', 'cepat', 'masker', 'andal', 'pesawat', 'bonus', 'masker', 'thank', 'seller']","emas cepat, masker andal, pesawat, bonus masker, thank seller"
152,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,Moedji,barang bagus packingnya topmarkotop alias mantul puas minggu beli bonus tambah ya thanks,5,"['barang', 'bagus', 'packingnya', 'topmarkotop', 'alias', 'mantul', 'puas', 'minggu', 'beli', 'bonus', 'tambah', 'ya', 'thanks']","['barang', 'bagus', 'packingnya', 'topmarkotop', 'alias', 'mantul', 'puas', 'minggu', 'beli', 'bonus', 'tambah', 'ya', 'thanks']","['Barang', 'bagus', 'packingnya', 'topmarkotop', 'mantul', 'puas', 'minggu', 'bonus', 'tambah', 'thanks']","['barang', 'bagus', 'packing', 'topmarkotop', 'mantul', 'puas', 'minggu', 'bonus', 'tambah', 'thanks']","barang bagus, packing topmarkotop, mantul, puas, minggu, bonus tambah, thanks"
153,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,r***n,barang cepat recommended seller masker kf mmasker nya ketat aman sakit telinga pakai jam thankyou bonus seller,5,"['barang', 'cepat', 'recommended', 'seller', 'masker', 'kf', 'mmasker', 'nya', 'ketat', 'aman', 'sakit', 'telinga', 'pakai', 'jam', 'thankyou', 'bonus', 'seller']","['barang', 'cepat', 'recommended', 'seller', 'masker', 'kf', 'mmasker', 'nya', 'ketat', 'aman', 'sakit', 'telinga', 'pakai', 'jam', 'thankyou', 'bonus', 'seller']","['Barang', 'cepat', 'recommended', 'seller', 'masker', 'kf', 'mmasker', 'ketat', 'aman', 'sakit', 'telinga', 'jam', 'thankyou', 'bonus', 'seller']","['barang', 'cepat', 'recommended', 'seller', 'masker', 'kf', 'mmasker', 'ketat', 'aman', 'sakit', 'telinga', 'jam', 'thankyou', 'bonus', 'seller']","barang cepat, recommended seller, masker kf mmasker ketat aman, sakit telinga, jam, thankyou, bonus seller"
154,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,L***a,niattt banget vacum beli suka banget,5,"['niattt', 'banget', 'vacum', 'beli', 'suka', 'banget']","['niattt', 'banget', 'vacum', 'beli', 'suka', 'banget']","['Niattt', 'vacum', 'suka']","['niattt', 'vacum', 'suka']",niattt vacum suka
155,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,r***n,cepat toko percaya beli masker mmakasih bonus pouch masker,5,"['cepat', 'toko', 'percaya', 'beli', 'masker', 'mmakasih', 'bonus', 'pouch', 'masker']","['cepat', 'toko', 'percaya', 'beli', 'masker', 'mmakasih', 'bonus', 'pouch', 'masker']","['Cepat', 'toko', 'percaya', 'beli', 'masker', 'mmakasih', 'bonus', 'pouch', 'masker']","['cepat', 'toko', 'percaya', 'beli', 'masker', 'mmakasih', 'bonus', 'pouch', 'masker']","cepat, toko percaya, beli masker, mmakasih, bonus pouch masker"
156,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,Dhita,beli kali packing mantab masker asli tani terbang jam sukses sehat,5,"['beli', 'kali', 'packing', 'mantab', 'masker', 'asli', 'tani', 'terbang', 'jam', 'sukses', 'sehat']","['beli', 'kali', 'packing', 'mantab', 'masker', 'asli', 'tani', 'terbang', 'jam', 'sukses', 'sehat']","['Beli', 'packing', 'mantab', 'masker', 'asli', 'tani', 'terbang', 'jam', 'sukses', 'sehat']","['beli', 'packing', 'mantab', 'masker', 'asli', 'tani', 'terbang', 'jam', 'sukses', 'sehat']","beli, packing mantab, masker asli tani terbang, jam, sukses, sehat"
157,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,S***l,ok,5,['ok'],['ok'],['Ok'],['ok'],ok
158,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,A***i,beda pesan nampaknya import china bonus beli auto star thank youu gann,5,"['beda', 'pesan', 'nampaknya', 'import', 'china', 'bonus', 'beli', 'auto', 'star', 'thank', 'youu', 'gann']","['beda', 'pesan', 'nampaknya', 'import', 'china', 'bonus', 'beli', 'auto', 'star', 'thank', 'youu', 'gann']","['Beda', 'pesan', 'import', 'china', 'bonus', 'beli', 'auto', 'star', 'thank', 'youu', 'gann']","['beda', 'pesan', 'import', 'china', 'bonus', 'beli', 'auto', 'star', 'thank', 'youu', 'gann']","beda, pesan import china, bonus beli auto star, thank youu gann"
159,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,M***l,pesan cepat proses sayang kurir banget packing rapi aman free pouch masker terima kasih,5,"['pesan', 'cepat', 'proses', 'sayang', 'kurir', 'banget', 'packing', 'rapi', 'aman', 'free', 'pouch', 'masker', 'terima', 'kasih']","['pesan', 'cepat', 'proses', 'sayang', 'kurir', 'banget', 'packing', 'rapi', 'aman', 'free', 'pouch', 'masker', 'terima', 'kasih']","['Pesan', 'cepat', 'proses', 'kurir', 'packing', 'rapi', 'aman', 'free', 'pouch', 'masker', 'terima', 'kasih']","['pesan', 'cepat', 'proses', 'kurir', 'packing', 'rapi', 'aman', 'free', 'pouch', 'masker', 'terima', 'kasih']","pesan cepat, proses kurir, packing rapi, aman, free pouch masker, terima kasih"
160,Masker 3M Nexcare N95 KN95 9501 - 3M 9501 Import,Bambang,very fast response barang ok banget good job,5,"['very', 'fast', 'response', 'barang', 'ok', 'banget', 'good', 'job']","['very', 'fast', 'response', 'barang', 'ok', 'banget', 'good', 'job']","['Fast', 'response', 'barang', 'ok', 'good', 'job']","['fast', 'response', 'barang', 'ok', 'good', 'job']","fast response, barang ok, good job"
161,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Arif,mantab bosssku terimakasih,5,"['mantab', 'bosssku', 'terimakasih']","['mantab', 'bosssku', 'terimakasih']","['Mantab', 'bosssku', 'terimakasih']","['mantab', 'bosssku', 'terima kasih']","mantab, bosssku, terima kasih"
162,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Reza,sesuai pict barang bagus,5,"['sesuai', 'pict', 'barang', 'bagus']","['sesuai', 'pict', 'barang', 'bagus']","['Sesuai', 'pict', 'barang', 'bagus']","['sesuai', 'pict', 'barang', 'bagus']","sesuai pict, barang bagus"
163,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Syahrul,masker terima terima kasih,5,"['masker', 'terima', 'terima', 'kasih']","['masker', 'terima', 'terima', 'kasih']","['Masker', 'terima', 'terima', 'kasih']","['masker', 'terima', 'terima', 'kasih']","masker terima, terima kasih"
164,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Bayu,belanja toko cepat kirim packing rapi kualitas barang sesuai deskripsi,5,"['belanja', 'toko', 'cepat', 'kirim', 'packing', 'rapi', 'kualitas', 'barang', 'sesuai', 'deskripsi']","['belanja', 'toko', 'cepat', 'kirim', 'packing', 'rapi', 'kualitas', 'barang', 'sesuai', 'deskripsi']","['Belanja', 'toko', 'cepat', 'kirim', 'packing', 'rapi', 'kualitas', 'barang', 'deskripsi']","['belanja', 'toko', 'cepat', 'kirim', 'packing', 'rapi', 'kualitas', 'barang', 'deskripsi']","belanja toko cepat kirim, packing rapi, kualitas barang deskripsi"
165,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Alam,murah murah cucu suka pakai nya,5,"['murah', 'murah', 'cucu', 'suka', 'pakai', 'nya']","['murah', 'murah', 'cucu', 'suka', 'pakai', 'nya']","['Murah', 'murah', 'cucu', 'suka', 'pakai']","['murah', 'murah', 'cucu', 'suka', 'pakai']","murah, murah, cucu suka pakai"
166,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,NURHASANAH,fast respon kirim cepat sayang box khusus hijab penyok penyok sobek kasih note terang box lipat sajakrn jual pakai bagus box nya,5,"['fast', 'respon', 'kirim', 'cepat', 'sayang', 'box', 'khusus', 'hijab', 'penyok', 'penyok', 'sobek', 'kasih', 'note', 'terang', 'box', 'lipat', 'sajakrn', 'jual', 'pakai', 'bagus', 'box', 'nya']","['fast', 'respon', 'kirim', 'cepat', 'sayang', 'box', 'khusus', 'hijab', 'penyok', 'penyok', 'sobek', 'kasih', 'note', 'terang', 'box', 'lipat', 'sajakrn', 'jual', 'pakai', 'bagus', 'box', 'nya']","['Fast', 'respon', 'kirim', 'sayang', 'box', 'khusus', 'hijab', 'penyok', 'penyok', 'sobek', 'kasih', 'note', 'terang', 'box', 'lipat', 'sajakrn', 'jual', 'bagus', 'box']","['fast', 'respon', 'kirim', 'sayang', 'box', 'khusus', 'hijab', 'penyok', 'penyok', 'sobek', 'kasih', 'note', 'terang', 'box', 'lipat', 'sajakrn', 'jual', 'bagus', 'box']","fast respon, kirim, sayang box khusus hijab, penyok, penyok, sobek, kasih note terang box lipat sajakrn jual bagus box"
167,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Y***a,bareng sesuai,5,"['bareng', 'sesuai']","['bareng', 'sesuai']","['Bareng', 'sesuai']","['bareng', 'sesuai']",bareng sesuai
168,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Andi,cepat dkrm dterima kondisi bagus packing bagus rapi cepat everything is good puassssss deh puas,5,"['cepat', 'dkrm', 'dterima', 'kondisi', 'bagus', 'packing', 'bagus', 'rapi', 'cepat', 'everything', 'is', 'good', 'puassssss', 'deh', 'puas']","['cepat', 'dkrm', 'dterima', 'kondisi', 'bagus', 'packing', 'bagus', 'rapi', 'cepat', 'everything', 'is', 'good', 'puassssss', 'deh', 'puas']","['cepat', 'dkrm', 'dterima', 'kondisi', 'bagus', 'packing', 'bagus', 'rapi', 'cepat', 'good', 'puassssss', 'puas']","['cepat', 'dkrm', 'terima', 'kondisi', 'bagus', 'packing', 'bagus', 'rapi', 'cepat', 'good', 'puas', 'puas']","cepat dkrm, terima kondisi bagus, packing bagus, rapi, cepat, good, puas, puas"
169,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Chandra,produk bagus sesuai pesan thanks,5,"['produk', 'bagus', 'sesuai', 'pesan', 'thanks']","['produk', 'bagus', 'sesuai', 'pesan', 'thanks']","['produk', 'bagus', 'pesan', 'thanks']","['produk', 'bagus', 'pesan', 'thanks']","produk bagus, pesan, thanks"
170,Facemask 50s / BOX Masker Wajah Kesehatan 3ply / Masker Mulut BNPB - Pack 10pcs,Jhon,pesan box hijab box model hijab,5,"['pesan', 'box', 'hijab', 'box', 'model', 'hijab']","['pesan', 'box', 'hijab', 'box', 'model', 'hijab']","['pesan', 'box', 'hijab', 'box', 'model', 'hijab']","['pesan', 'box', 'hijab', 'box', 'model', 'hijab']","pesan box hijab, box model hijab"
171,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Luke,masak debu masuk masker hari,3,"['masak', 'debu', 'masuk', 'masker', 'hari']","['masak', 'debu', 'masuk', 'masker', 'hari']","['masak', 'debu', 'masuk', 'masker', 'hari']","['masak', 'debu', 'masuk', 'masker', 'hari']",masak debu masuk masker hari
172,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Densi,tipis banding,2,"['tipis', 'banding']","['tipis', 'banding']","['tipis', 'banding']","['tipis', 'banding']",tipis banding
173,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,H***h,tipis banget masker beda onemed warna putih tipis,2,"['tipis', 'banget', 'masker', 'beda', 'onemed', 'warna', 'putih', 'tipis']","['tipis', 'banget', 'masker', 'beda', 'onemed', 'warna', 'putih', 'tipis']","['tipis', 'banget', 'masker', 'beda', 'onemed', 'warna', 'putih', 'tipis']","['tipis', 'banget', 'masker', 'beda', 'onemed', 'warna', 'putih', 'tipis']","tipis banget, masker beda onemed, warna putih, tipis"
174,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Shandyka,quantitas sesuai pesan kemas box langsung masker masker bungkus plastik enak pakai masker terimakasih layan cepat,5,"['quantitas', 'sesuai', 'pesan', 'kemas', 'box', 'langsung', 'masker', 'masker', 'bungkus', 'plastik', 'enak', 'pakai', 'masker', 'terimakasih', 'layan', 'cepat']","['quantitas', 'sesuai', 'pesan', 'kemas', 'box', 'langsung', 'masker', 'masker', 'bungkus', 'plastik', 'enak', 'pakai', 'masker', 'terimakasih', 'layan', 'cepat']","['quantitas', 'pesan', 'kemas', 'box', 'masker', 'masker', 'bungkus', 'plastik', 'enak', 'pakai', 'masker', 'terimakasih', 'layan', 'cepat']","['quantitas', 'pesan', 'kemas', 'box', 'masker', 'masker', 'bungkus', 'plastik', 'enak', 'pakai', 'masker', 'terima', 'kasih', 'layan', 'cepat']","quantitas pesan, kemas box masker, masker bungkus plastik, enak pakai masker, terima kasih, layan cepat"
175,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,D,jossss wes,5,"['jossss', 'wes']","['jossss', 'wes']","['jossss', 'wes']","['jossss', 'wes']",jossss wes
176,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Astri,bagus barang segel utuh bubble wrap kasih biar aman isi nytrima kasih,5,"['bagus', 'barang', 'segel', 'utuh', 'bubble', 'wrap', 'kasih', 'biar', 'aman', 'isi', 'nytrima', 'kasih']","['bagus', 'barang', 'segel', 'utuh', 'bubble', 'wrap', 'kasih', 'biar', 'aman', 'isi', 'nytrima', 'kasih']","['bagus', 'barang', 'segel', 'utuh', 'bubble', 'wrap', 'kasih', 'aman', 'isi', 'nytrima', 'kasih']","['bagus', 'barang', 'segel', 'utuh', 'bubble', 'wrap', 'kasih', 'aman', 'isi', 'nytrima', 'kasih']","bagus, barang segel utuh, bubble wrap, kasih aman, isi nytrima kasih"
177,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Suci,kali beli masker puas kirim barang recomended,5,"['kali', 'beli', 'masker', 'puas', 'kirim', 'barang', 'recomended']","['kali', 'beli', 'masker', 'puas', 'kirim', 'barang', 'recomended']","['beli', 'masker', 'puas', 'kirim', 'barang', 'recomended']","['beli', 'masker', 'puas', 'kirim', 'barang', 'recomended']","beli masker puas, kirim barang, recomended"
178,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Rani,tidak ada komentar,3,"['tidak', 'ada', 'komentar']","['tidak', 'ada', 'komentar']",['komentar'],['komentar'],komentar
179,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Cipta,seller bintang,5,"['seller', 'bintang']","['seller', 'bintang']","['seller', 'bintang']","['seller', 'bintang']",seller bintang
180,Masker Karet Putih 3 Ply Daily Use Onemed Box Isi 50 Pcs,Dafit,barang terima kasih,5," ['barang', 'terima', 'kasih']","['barang', 'terima', 'kasih']","['barang', 'terima', 'kasih']","['barang', 'terima', 'kasih']","barang terima, kasih"
181,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Andy,olshop percaya barang sesuai pesan,5,"['olshop', 'percaya', 'barang', 'sesuai', 'pesan']","['olshop', 'percaya', 'barang', 'sesuai', 'pesan']","['olshop', 'percaya', 'barang', 'pesan']","['olshop', 'percaya', 'barang', 'pesan']","olshop percaya, barang pesan"
182,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Ineu,bagussssss,5,['bagussssss'],['bagussssss'],['bagussssss'],['bagussssss'],bagussssss
183,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,N***i,okeeee thankyou seller,5,"['okeeee', 'thankyou', 'seller']","['okeeee', 'thankyou', 'seller']","['okeeee', 'thankyou', 'seller']","['okeeee', 'thankyou', 'seller']","okeeee, thankyou seller"
184,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Javirus,sesuai pcs pengirimn cepat terima kasih seller,5,"['sesuai', 'pcs', 'pengirimn', 'cepat', 'terima', 'kasih', 'seller']","['sesuai', 'pcs', 'pengirimn', 'cepat', 'terima', 'kasih', 'seller']","['sesuai', 'pcs', 'pengirimn', 'cepat', 'terima', 'kasih', 'seller']","['sesuai', 'pcs', 'kirim', 'cepat', 'terima', 'kasih', 'seller']","sesuai pcs, kirim cepat, terima kasih seller"
185,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Wahyu,siiiip,5,['siiiip'],['siiiip'],['siiiip'],['siiiip'],siiiip
186,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Muji,proses puas barang kirim,5,"['proses', 'puas', 'barang', 'kirim']","['proses', 'puas', 'barang', 'kirim']","['proses', 'puas', 'barang', 'kirim']","['proses', 'puas', 'barang', 'kirim']","proses puas, barang kirim"
187,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,s***y,bonus,5,['bonus'],['bonus'],['bonus'],['bonus'],bonus
188,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,T***r,cepat mantap,5,"['cepat', 'mantap']","['cepat', 'mantap']","['cepat', 'mantap']","['cepat', 'mantap']",cepat mantap
189,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,widhi,cepat kirim,5,"['cepat', 'kirim']","['cepat', 'kirim']","['cepat', 'kirim']","['cepat', 'kirim']",cepat kirim
190,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Senny,tidak ada komentar,5,"['tidak', 'ada', 'komentar']","['tidak', 'ada', 'komentar']",['komentar'],['komentar'],komentar
191,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Heri,alhamdulillah sesuai pesan barang bagus,5,"['alhamdulillah', 'sesuai', 'pesan', 'barang', 'bagus']","['alhamdulillah', 'sesuai', 'pesan', 'barang', 'bagus']","['alhamdulillah', 'pesan', 'barang', 'bagus']","['alhamdulillah', 'pesan', 'barang', 'bagus']","alhamdulillah, pesan barang bagus"
192,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Toni,barang sesuai peaanan,5,"['barang', 'sesuai', 'peaanan']","['barang', 'sesuai', 'peaanan']","['barang', 'pesan']","['barang', 'pesan']",barang pesan
193,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,M***r,cerita beli pcs dikotakin kes bunafit ply sayang kwalitas premium,5,"['cerita', 'beli', 'pcs', 'dikotakin', 'kes', 'bunafit', 'ply', 'sayang', 'kwalitas', 'premium']","['cerita', 'beli', 'pcs', 'dikotakin', 'kes', 'bunafit', 'ply', 'sayang', 'kwalitas', 'premium']","['cerita', 'beli', 'pcs', 'dikotakin', 'kes', 'bunafit', 'ply', 'sayang', 'kwalitas', 'premium']","['cerita', 'beli', 'pcs', 'dikotakin', 'kes', 'bunafit', 'ply', 'sayang', 'kwalitas', 'premium']",cerita beli pcs dikotakin kes bunafit ply sayang kwalitas premium
194,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,R***n,brng nya dngn sesuai pesan bahan nya bagus sek napas nya makasihhhh,5,"['brng', 'nya', 'dngn', 'sesuai', 'pesan', 'bahan', 'nya', 'bagus', 'sek', 'napas', 'nya', 'makasihhhh']","['brng', 'nya', 'dngn', 'sesuai', 'pesan', 'bahan', 'nya', 'bagus', 'sek', 'napas', 'nya', 'makasihhhh']","['brng', 'nya', 'dngn', 'pesan', 'bahan', 'nya', 'bagus', 'sek', 'napas', 'nya', 'makasihhhh']","['brng', 'nya', 'dngn', 'pesan', 'bahan', 'nya', 'bagus', 'sek', 'napas', 'nya', 'makasihhhh']",brng nya dngn pesan bahan nya bagus sek napas nya makasihhhh
195,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,AFRODI,masker lumayan bagus besi tempel maksimal,5,"['masker', 'lumayan', 'bagus', 'besi', 'tempel', 'maksimal']","['masker', 'lumayan', 'bagus', 'besi', 'tempel', 'maksimal']","['masker', 'lumayan', 'bagus', 'besi', 'tempel', 'maksimal']","['masker', 'lumayan', 'bagus', 'besi', 'tempel', 'maksimal']",masker lumayan bagus besi tempel maksimal
196,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Melina,beli kedau barang ok,5,"['beli', 'kedau', 'barang', 'ok']","['beli', 'kedau', 'barang', 'ok']","['beli', 'kedau', 'barang', 'ok']","['beli', 'kedau', 'barang', 'ok']",beli kedau barang ok
197,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Alex,cepat komplit top,5,"['cepat', 'komplit', 'top']","['cepat', 'komplit', 'top']","['cepat', 'komplit', 'top']","['cepat', 'komplit', 'top']",cepat komplit top
198,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Aris,mantulll,5,['mantulll'],['mantulll'],['mantulll'],['mantulll'],mantulll
199,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Sekardewi,pesan plastik masker plastik masker masker,4,"['pesan', 'plastik', 'masker', 'plastik', 'masker', 'masker']","['pesan', 'plastik', 'masker', 'plastik', 'masker', 'masker']","['pesan', 'plastik', 'masker', 'plastik', 'masker', 'masker']","['pesan', 'plastik', 'masker', 'plastik', 'masker', 'masker']",pesan plastik masker plastik masker masker
200,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Endang,kirim cepat barang sesuai foto kurir ramah,5,"['kirim', 'cepat', 'barang', 'sesuai', 'foto', 'kurir', 'ramah']","['kirim', 'cepat', 'barang', 'sesuai', 'foto', 'kurir', 'ramah']","['kirim', 'cepat', 'barang', 'foto', 'kurir', 'ramah']","['kirim', 'cepat', 'barang', 'foto', 'kurir', 'ramah']",kirim cepat barang foto kurir ramah
201,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Usep,okeeehhh,5,['okeeehhh'],['okeeehhh'],['okeeehhh'],['okeeehhh'],okeeehhh
202,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Stephanus,dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga,5,"['dua', 'kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'itu', 'kirim', 'besok', 'barang', 'bagus', 'sesuai', 'harga']","['dua', 'kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'itu', 'kirim', 'besok', 'barang', 'bagus', 'sesuai', 'harga']","['dua', 'kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'kirim', 'besok', 'barang', 'bagus', 'harga']","['dua', 'kali', 'beli', 'sayang', 'lambat', 'respon', 'order', 'pagi', 'kirim', 'sore', 'respon', 'respon', 'kirim', 'besok', 'barang', 'bagus', 'harga']",dua kali beli sayang lambat respon order pagi kirim sore respon respon kirim besok barang bagus harga
203,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Rahmat,barang sesuai minta bagus komunikasi jual beli pro aktif,5,"['barang', 'sesuai', 'minta', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']","['barang', 'sesuai', 'minta', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']","['barang', 'pesan', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']","['barang', 'pesan', 'bagus', 'komunikasi', 'jual', 'beli', 'pro', 'aktif']",barang pesan bagus komunikasi jual beli pro aktif
204,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Alden,bagus masker,5,"['bagus', 'masker']","['bagus', 'masker']","['bagus', 'masker']","['bagus', 'masker']",bagus masker
205,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan,5,"['barang', 'sesuai', 'pesan']","['barang', 'sesuai', 'pesan']","['barang', 'pesan']","['barang', 'pesan']",barang pesan
206,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Febby,panas pakai,3,"['panas', 'pakai']","['panas', 'pakai']","['panas', 'pakai']","['panas', 'pakai']",panas pakai
207,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,n***l,proses barang jemput kurir banget anjas pokok,5,"['proses', 'barang', 'jemput', 'kurir', 'banget', 'anjas', 'pokok']","['proses', 'barang', 'jemput', 'kurir', 'banget', 'anjas', 'pokok']","['proses', 'barang', 'jemput', 'kurir', 'banget', 'anjas', 'pokok']","['proses', 'barang', 'jemput', 'kurir', 'banget', 'anjas', 'pokok']",proses barang jemput kurir banget anjas pokok
208,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Heni,pengirimn cepat produk bagus konsumen suka makasih,5,"['pengirimn', 'cepat', 'produk', 'bagus', 'konsumen', 'suka', 'makasih']","['pengirimn', 'cepat', 'produk', 'bagus', 'konsumen', 'suka', 'makasih']","['pengirimn', 'cepat', 'produk', 'bagus', 'konsumen', 'suka', 'makasih']","['pengirimn', 'cepat', 'produk', 'bagus', 'konsumen', 'suka', 'makasih']",pengirimn cepat produk bagus konsumen suka makasih
209,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Yati,bagus kirim cepat,5,"['bagus', 'kirim', 'cepat']","['bagus', 'kirim', 'cepat']","['bagus', 'kirim', 'cepat']","['bagus', 'kirim', 'cepat']",bagus kirim cepat
210,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan kirim cepat,5,"['barang', 'sesuai', 'pesan', 'kirim', 'cepat']","['barang', 'sesuai', 'pesan', 'kirim', 'cepat']","['barang', 'pesan', 'kirim', 'cepat']","['barang', 'pesan', 'kirim', 'cepat']",barang pesan kirim cepat
211,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),l***h,layan bagusseller ramah cepat reply chatdan kirim cepat buka dusnyarecommemded,5,"['layan', 'bagusseller', 'ramah', 'cepat', 'reply', 'chatdan', 'kirim', 'cepat', 'buka', 'dusnyarecommemded']","['layan', 'bagusseller', 'ramah', 'cepat', 'reply', 'chatdan', 'kirim', 'cepat', 'buka', 'dusnyarecommemded']","['layan', 'bagusseller', 'ramah', 'cepat', 'reply', 'chatdan', 'kirim', 'cepat', 'buka', 'dusnyarecommemded']","['layan', 'bagusseller', 'ramah', 'cepat', 'reply', 'chatdan', 'kirim', 'cepat', 'buka', 'dusnyarecommemded']",layan bagusseller ramah cepat reply chatdan kirim cepat buka dusnyarecommemded
